@relation play

@attribute outlook {sunny, rainy, overcast}
@attribute temperature {hot, mild, cool}
@attribute humidity {high, normal}
@attribute windy {true, false}
@attribute play {yes, no}

@data
% 14 instances
%
sunny, hot, high, false, no
sunny, hot, high, true, no
overcast, hot, high, false, yes
rainy, mild, high, false, yes
rainy, cool, normal, false, yes
rainy, cool, normal, true, no
overcast, cool, normal, true, yes
sunny, mild, high, false, no
sunny, cool, normal, false, yes
rainy, mild, normal, false, yes
sunny, mild, normal, true, yes
overcast, mild, high, true, yes
overcast, hot, normal, false, yes
rainy, mild, high, true, no
